P,Ti,Cr,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Mo,Ag,Sb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,W,Bi,Pb
47.2865 ,57.9258 ,1.2202 ,921.6939 ,6.0267 ,346.7474 ,239.4964 ,2.3321 ,3.2502 ,0.0818 ,0.0324 ,0.2289 ,1.3974 ,0.0075 ,0.0030 ,0.0082 ,0.0030 ,0.0175 ,,,,,,0.0023 ,,,,0.0023 ,0.0808 ,21.2233 ,2.1671 
53.3381 ,17.6855 ,2.1862 ,2014.4971 ,7.4873 ,31.1451 ,11.3494 ,1.9968 ,22.1600 ,0.0494 ,0.0365 ,,0.1814 ,,0.0085 ,0.0078 ,,0.0433 ,0.0022 ,0.0031 ,,,0.0128 ,0.0016 ,,0.0030 ,,0.0016 ,1.7729 ,3.0276 ,0.7095 
64.5739 ,8.2199 ,0.1871 ,225.3922 ,15.1183 ,2.7716 ,1.2730 ,2.3457 ,13.0358 ,10.8950 ,23.0148 ,1991.5097 ,0.1272 ,0.1898 ,0.0506 ,0.0512 ,,0.0683 ,,0.0568 ,0.0142 ,0.0021 ,,0.0043 ,0.0061 ,,,,1.5078 ,16.4195 ,14.7164 
50.7420 ,4.5583 ,0.8987 ,109.3825 ,4.0313 ,0.1682 ,1.3223 ,0.5172 ,,0.0851 ,,,0.0458 ,0.0328 ,,0.0046 ,0.0064 ,0.0715 ,,,0.0128 ,0.0019 ,,,,,,0.0038 ,,0.1351 ,0.0840 
50.7323 ,5.4003 ,1.5119 ,522.2381 ,19.7418 ,0.0466 ,1.4425 ,3.0632 ,3.4863 ,0.0073 ,0.0061 ,0.0415 ,0.0725 ,0.0018 ,,,,,0.0100 ,,,,,0.0017 ,0.0046 ,0.0015 ,,0.0032 ,,0.0464 ,0.1918 
54.9725 ,5.3601 ,3.5062 ,47.2258 ,56.9618 ,73.4956 ,30.5737 ,0.2088 ,10.1481 ,,,0.0983 ,0.2141 ,,0.0043 ,,0.0065 ,,0.0124 ,,,0.0016 ,,0.0033 ,,,,,0.1472 ,2.8834 ,1.4987 
61.7723 ,4.4815 ,2.8668 ,1.6413 ,155.1482 ,227.3983 ,16.6491 ,0.1130 ,4.8282 ,,0.0732 ,0.0723 ,0.2928 ,0.0015 ,,0.0022 ,,0.0337 ,0.0240 ,,,0.0036 ,0.0072 ,,0.0052 ,0.0034 ,0.0081 ,,0.0082 ,2.1859 ,0.3560 
74.6762 ,3.8730 ,0.8716 ,0.0392 ,22.1374 ,0.6787 ,1.9394 ,2.9316 ,18.6868 ,,0.0213 ,0.0665 ,0.0300 ,0.0251 ,,0.0040 ,0.0084 ,,0.0938 ,,,,,,,0.0016 ,,,,0.0857 ,0.0414 
48.2575 ,6.2902 ,0.2882 ,38.3137 ,6.3791 ,17.5634 ,1.8780 ,2.4990 ,,0.0237 ,0.0079 ,,0.1215 ,0.4377 ,,,0.0060 ,,0.0256 ,0.0045 ,0.0159 ,,,,,,0.0213 ,,,0.0632 ,3.6477 
24.3574 ,6.0961 ,1.1502 ,12.5822 ,454.8367 ,891.5578 ,3.6580 ,0.5864 ,54.2746 ,0.0157 ,0.0196 ,0.0727 ,0.7048 ,1.4225 ,0.0024 ,0.0065 ,0.0021 ,,0.1266 ,0.0003 ,0.0242 ,,,0.0018 ,0.0051 ,,,,,0.8291 ,13.5731 
45.4963 ,5.3098 ,4.0646 ,2159.6300 ,294.9742 ,763.4994 ,5.8836 ,19.4315 ,52.7272 ,0.1243 ,0.5730 ,0.0308 ,0.6709 ,4.9185 ,0.0041 ,0.0120 ,,0.0092 ,0.0056 ,,0.0105 ,0.0031 ,0.0062 ,,,,,0.0031 ,,3.6158 ,49.2629 
54.5881 ,4.6170 ,1.9909 ,5.8525 ,7.7471 ,0.9438 ,1.6425 ,2.4992 ,1.6980 ,0.0979 ,0.0347 ,0.0149 ,0.0364 ,0.1032 ,0.0060 ,0.0033 ,0.0057 ,0.0254 ,0.0020 ,,,,0.0061 ,,0.0044 ,,,0.0046 ,,0.2344 ,1.6683 
56.1960 ,5.4079 ,0.9176 ,106.1973 ,7.6700 ,0.1682 ,2.4278 ,0.6841 ,14.1222 ,0.1424 ,0.0117 ,0.0640 ,0.0281 ,0.0381 ,0.0031 ,,,0.0213 ,0.0382 ,0.0045 ,0.0108 ,,0.0003 ,0.0020 ,,0.0011 ,,0.0012 ,0.0246 ,0.1739 ,0.1311 
54.3798 ,24.5794 ,1.0839 ,424.9584 ,8.0230 ,100.0590 ,106.3966 ,0.9136 ,2.4905 ,0.0748 ,0.0229 ,0.1294 ,0.4463 ,0.0044 ,,0.0032 ,0.0004 ,0.0485 ,0.0675 ,,0.0217 ,,,0.0017 ,,,,0.0009 ,0.0349 ,7.3321 ,0.7978 
51.5849 ,47.3129 ,1.0478 ,1380.2498 ,6.1742 ,227.4577 ,191.6674 ,2.4478 ,10.9344 ,0.0737 ,0.0280 ,0.1209 ,0.9859 ,0.0069 ,0.0036 ,0.0090 ,0.0014 ,0.0233 ,,0.0012 ,,,0.0052 ,0.0023 ,,0.0006 ,,0.0023 ,0.7750 ,15.5540 ,1.6632 
53.8597 ,14.1050 ,1.3776 ,1507.4613 ,10.7680 ,22.7734 ,10.6973 ,1.6629 ,20.6276 ,0.0413 ,0.0198 ,,0.1392 ,,0.0054 ,0.0057 ,0.0008 ,0.0700 ,0.0179 ,0.0023 ,,,0.0095 ,0.0012 ,,0.0016 ,,0.0012 ,1.3114 ,2.4388 ,0.5319 
57.0471 ,5.5989 ,0.7167 ,196.8648 ,12.4164 ,1.3293 ,1.4700 ,1.1583 ,10.2257 ,3.6530 ,7.6747 ,1063.8366 ,0.0638 ,0.0768 ,0.0178 ,0.0187 ,0.0024 ,0.0857 ,0.0171 ,0.0189 ,0.0093 ,0.0014 ,,0.0014 ,0.0020 ,,,0.0014 ,0.5026 ,5.7548 ,4.9778 
54.0313 ,5.0609 ,0.9452 ,252.2240 ,9.5863 ,0.0999 ,1.8368 ,1.3412 ,0.4876 ,0.0497 ,0.0020 ,0.0025 ,0.0317 ,0.0282 ,0.0009 ,0.0032 ,0.0039 ,0.0460 ,,,0.0089 ,0.0013 ,,0.0006 ,0.0017 ,0.0006 ,,0.0039 ,,0.1074 ,0.0939 
52.5717 ,5.8807 ,1.1496 ,373.3470 ,26.8918 ,19.9118 ,15.5398 ,2.1074 ,1.7166 ,0.0024 ,0.0040 ,0.0243 ,0.0531 ,0.0057 ,,,0.0034 ,0.0011 ,0.0033 ,,,0.0008 ,,0.0020 ,0.0032 ,0.0011 ,,0.0023 ,0.0682 ,1.1035 ,0.6702 
57.8848 ,5.2218 ,1.8057 ,37.4460 ,80.6363 ,45.8496 ,25.8061 ,0.1230 ,3.4496 ,,0.0131 ,0.0806 ,0.1578 ,0.0014 ,0.0014 ,0.0024 ,0.0055 ,0.0156 ,0.0188 ,,,0.0034 ,,0.0019 ,,0.0019 ,,,0.1173 ,2.1668 ,1.0705 
69.5969 ,4.1178 ,1.5857 ,1.1199 ,107.5292 ,77.4793 ,7.8075 ,1.0293 ,7.9676 ,,0.0434 ,0.0871 ,0.1081 ,0.0058 ,0.0008 ,0.0045 ,0.0027 ,0.0257 ,0.0540 ,0.0011 ,,0.0032 ,0.0024 ,,0.0017 ,0.0036 ,0.0027 ,,0.0027 ,0.8915 ,0.1387 
65.5105 ,4.6425 ,0.9216 ,12.1113 ,17.3471 ,6.1769 ,2.4465 ,2.8558 ,12.5871 ,0.0056 ,0.0271 ,0.0453 ,0.0283 ,0.1696 ,0.0019 ,0.0027 ,0.0062 ,,0.0842 ,0.0027 ,0.0055 ,,,,,0.0011 ,0.0074 ,0.0005 ,,0.0893 ,1.3741 
36.0937 ,5.9440 ,0.7192 ,28.5399 ,191.2575 ,52.9816 ,3.0386 ,2.0291 ,22.0676 ,0.0135 ,0.0453 ,0.0291 ,0.0589 ,0.9674 ,0.0011 ,,0.0059 ,0.0061 ,0.1081 ,0.0031 ,0.0464 ,,,,,,0.0145 ,0.0005 ,,0.2429 ,6.8330 
26.2471 ,5.4957 ,0.9977 ,59.4506 ,471.0301 ,389.3055 ,4.7682 ,17.3668 ,62.4452 ,0.0324 ,0.1165 ,0.0954 ,1.2383 ,4.8478 ,0.0027 ,0.0022 ,0.0039 ,0.0061 ,0.1273 ,0.0001 ,0.0436 ,0.0029 ,0.0058 ,0.0006 ,0.0017 ,,0.0065 ,,,2.7102 ,45.1216 
47.8888 ,4.8255 ,1.9721 ,773.0724 ,232.4395 ,305.3265 ,4.7021 ,57.5213 ,39.8618 ,0.1008 ,0.2854 ,0.0594 ,0.6207 ,5.3827 ,0.0042 ,0.0058 ,0.0015 ,0.0123 ,0.0178 ,,0.0042 ,0.0039 ,0.0108 ,,0.0021 ,,0.0065 ,0.0025 ,,3.5417 ,53.3409 
56.8145 ,4.7785 ,1.2809 ,38.9729 ,6.5724 ,0.4794 ,2.1048 ,1.9097 ,5.2734 ,0.1123 ,0.0286 ,0.0334 ,0.0301 ,0.0822 ,0.0040 ,0.0030 ,0.0034 ,0.0247 ,0.0221 ,0.0015 ,0.0043 ,,0.0050 ,0.0007 ,0.0035 ,0.0004 ,,0.0034 ,0.0082 ,0.2291 ,1.1938 
34.5358 ,48.6202 ,0.4528 ,446.6982 ,18.8782 ,262.7596 ,1023.7038 ,0.3343 ,46.5054 ,,0.0124 ,1224.2795 ,4.6999 ,,,0.0083 ,0.0006 ,,,,,,,0.0141 ,,,0.0015 ,0.0069 ,0.0618 ,216.7850 ,27.7953 
55.4986 ,5.3604 ,2.8462 ,771.4482 ,12.6470 ,0.0433 ,0.9253 ,5.8753 ,,0.0649 ,,0.0545 ,,,,,0.0073 ,,0.0634 ,,0.0122 ,,,0.0037 ,,,,0.0036 ,,0.0463 ,0.3209 
44.8293 ,7.0452 ,,84.0858 ,23.3920 ,185.2883 ,87.5565 ,0.0619 ,,,,,0.4902 ,0.0385 ,,,0.0037 ,0.0223 ,,,,,,0.0084 ,,,,,0.5537 ,6.7967 ,2.8129 
55.1499 ,5.4917 ,0.3198 ,1.8990 ,147.0300 ,333.8081 ,35.6500 ,,,,0.0348 ,0.1112 ,0.7679 ,,,,,0.0648 ,0.0174 ,,,0.0056 ,0.0222 ,,0.0159 ,,0.0250 ,,0.0251 ,4.8612 ,0.4147 
73.3897 ,4.3254 ,,,17.5467 ,2.4360 ,2.9442 ,1.6529 ,22.8266 ,,0.0258 ,,,0.0353 ,,,,,0.1674 ,,,,,,,,,,,0.1540 ,0.0665 
46.5188 ,6.3671 ,5.9718 ,54.9177 ,4.8489 ,65.9571 ,3.4202 ,3.1371 ,,,0.0293 ,0.0152 ,0.0542 ,0.6080 ,0.0048 ,0.0152 ,0.0051 ,,,,,,,,,,,0.0017 ,,0.1040 ,5.8250 
15.0912 ,6.8242 ,1.5231 ,17.5669 ,479.4327 ,1328.7032 ,4.1543 ,0.7867 ,51.0266 ,0.0487 ,0.0124 ,0.0685 ,1.0620 ,0.8880 ,0.0042 ,0.0076 ,0.0011 ,,0.1179 ,0.0011 ,,,,,0.0091 ,,,,,0.9374 ,12.0663 
48.1144 ,5.0168 ,8.9552 ,3887.6210 ,223.9537 ,1374.2442 ,8.6262 ,69.2644 ,55.9564 ,0.1246 ,0.9462 ,0.0840 ,1.4369 ,2.0250 ,0.0150 ,0.0328 ,,0.0167 ,,0.0012 ,0.0191 ,,,,,,,,,2.6526 ,22.2045 
49.3732 ,5.9816 ,0.7691 ,2396.9625 ,7.9340 ,45.6530 ,10.8196 ,1.4477 ,22.9076 ,0.0251 ,0.0190 ,,0.2681 ,,0.0037 ,0.0068 ,,0.0124 ,,0.0054 ,,,,0.0029 ,,,,0.0028 ,0.4813 ,4.1851 ,0.8915 
61.6935 ,11.7409 ,0.2326 ,240.3635 ,14.5432 ,4.4950 ,1.7923 ,3.5888 ,22.5777 ,20.0628 ,42.4648 ,7185.8571 ,0.2116 ,0.3312 ,0.1039 ,0.0899 ,,0.0344 ,,0.1049 ,0.0262 ,0.0039 ,,0.0080 ,,,,,2.6805 ,28.1913 ,25.3598 
56.9753 ,4.0506 ,0.7647 ,296.3413 ,23.1978 ,1.3799 ,1.6581 ,0.6035 ,19.7895 ,,0.0124 ,1.5101 ,0.0107 ,,,,0.0020 ,,,0.0032 ,0.0115 ,,0.0136 ,,,,,0.0017 ,,0.4553 ,0.2420 
65.9266 ,3.9515 ,9.4633 ,1245.3039 ,113.9295 ,2.4836 ,2.6849 ,2.5100 ,,0.0922 ,0.2390 ,0.0685 ,0.0248 ,,0.0147 ,0.0335 ,,0.0489 ,,,,,,,,,,,,0.1977 ,1.9238 
46.0264 ,4.5580 ,1.4884 ,458.1817 ,95.0104 ,1.3012 ,1.0108 ,0.9285 ,55.8530 ,0.0436 ,0.0293 ,0.0345 ,0.0493 ,0.0489 ,0.0043 ,0.0039 ,,,0.0589 ,0.0031 ,,0.0016 ,,0.0017 ,,0.0015 ,,0.0016 ,,0.0355 ,0.6112 
54.4625 ,3.7706 ,1.5825 ,355.1200 ,9.2395 ,9.2968 ,2.3902 ,5.6968 ,71.8871 ,,0.0122 ,0.0497 ,0.4469 ,,,0.0021 ,,0.0613 ,0.0606 ,0.0032 ,0.0114 ,,,,0.0049 ,,,,,1.9888 ,18.1135 
54.0444 ,4.9432 ,3.3753 ,1383.0916 ,9.4588 ,88.8521 ,3.2657 ,4.1151 ,,0.0379 ,0.0324 ,0.0898 ,0.2658 ,0.0519 ,0.0020 ,0.0091 ,0.0023 ,,,,0.0206 ,,,0.0016 ,0.0044 ,,0.0068 ,0.0030 ,,0.6812 ,5.0685 
55.9068 ,4.0500 ,2.3082 ,5818.3647 ,12.8872 ,208.6848 ,27.0578 ,1.4154 ,50.0511 ,0.1121 ,0.0223 ,1.4516 ,0.1192 ,,0.0020 ,0.0018 ,0.0047 ,0.0623 ,0.0342 ,,,,0.0120 ,,0.0086 ,0.0014 ,,,,1.0479 ,0.6359 
52.2221 ,5.0149 ,1.5314 ,9435.2872 ,7.3859 ,16.2603 ,6.0992 ,1.6435 ,31.7125 ,,0.0183 ,0.7805 ,0.0461 ,,0.0020 ,,0.0050 ,0.0482 ,0.0245 ,,,0.0046 ,0.0061 ,0.0016 ,,,0.0069 ,,,0.5156 ,0.2332 
64.0678 ,4.3382 ,2.6267 ,990.2716 ,48.9062 ,89.5414 ,15.2492 ,0.9148 ,1.8722 ,0.1111 ,0.0240 ,0.2259 ,0.1448 ,0.0271 ,0.0022 ,0.0040 ,0.0066 ,0.0825 ,0.0143 ,0.0096 ,,,,,,,,0.0034 ,0.0152 ,0.5528 ,0.6435 
57.8079 ,6.5475 ,0.9376 ,31.5226 ,118.1736 ,122.6572 ,130.6060 ,0.2185 ,,,0.0369 ,0.0156 ,0.3219 ,0.0066 ,,0.0038 ,0.0092 ,,0.0521 ,,,0.0016 ,,,,0.0015 ,0.0070 ,0.0016 ,,0.8637 ,0.5010 
79.4449 ,3.8945 ,0.5826 ,5007.4413 ,9.4064 ,0.4618 ,2.0314 ,2.7440 ,55.4529 ,0.1704 ,,0.5689 ,0.0288 ,0.0145 ,0.0021 ,,0.0060 ,0.0080 ,0.0526 ,,0.0214 ,,,,,0.0030 ,0.0071 ,0.0048 ,,0.1076 ,0.1437 
57.4181 ,4.4356 ,0.8246 ,604.3096 ,58.5519 ,0.9780 ,2.1144 ,1.5322 ,23.7533 ,0.0181 ,0.0159 ,0.7901 ,0.1228 ,,,0.0001 ,0.0011 ,0.0027 ,,0.0024 ,0.0086 ,0.0001 ,0.0101 ,,,,,0.0013 ,,0.3655 ,0.6185 
56.5595 ,4.4794 ,3.7227 ,963.4310 ,112.7308 ,1.2523 ,2.0983 ,2.2814 ,22.7373 ,0.0607 ,0.0932 ,0.0362 ,0.3595 ,0.0129 ,0.0058 ,0.0127 ,,0.0190 ,0.0233 ,0.0012 ,,0.0007 ,,0.0007 ,,0.0006 ,,0.0007 ,,0.1341 ,1.3271 
50.4131 ,4.2375 ,1.0653 ,420.0126 ,65.7556 ,3.6940 ,1.9744 ,2.6655 ,51.4818 ,0.0264 ,0.0197 ,0.0385 ,0.1537 ,0.0292 ,0.0023 ,0.0040 ,,0.0205 ,0.0574 ,0.0036 ,,0.0012 ,,0.0012 ,,0.0011 ,,0.0012 ,,0.6143 ,5.7153 
56.2028 ,4.2367 ,1.0904 ,621.5333 ,8.8034 ,40.9029 ,3.7537 ,4.8797 ,41.5755 ,0.0160 ,0.0108 ,0.0549 ,0.3313 ,0.0184 ,,0.0033 ,0.0019 ,0.0410 ,0.0347 ,0.0024 ,0.0124 ,,,0.0006 ,0.0016 ,,0.0029 ,0.0006 ,0.0010 ,1.4422 ,12.6855 
55.6566 ,4.5713 ,1.6857 ,2668.9045 ,8.8895 ,68.6496 ,3.9316 ,2.7248 ,1.8037 ,0.0782 ,0.0206 ,0.0689 ,0.1531 ,0.0357 ,0.0026 ,0.0046 ,0.0026 ,0.0173 ,,0.0012 ,0.0155 ,,,0.0012 ,0.0015 ,,0.0051 ,0.0017 ,0.0010 ,0.4323 ,3.0720 
55.7216 ,4.2586 ,1.3197 ,7842.8988 ,9.6056 ,74.0072 ,13.6573 ,1.3775 ,22.8471 ,0.0968 ,0.0159 ,0.7718 ,0.0587 ,,0.0034 ,0.0006 ,0.0023 ,0.0537 ,0.0114 ,0.0014 ,,0.0019 ,0.0065 ,0.0006 ,0.0029 ,0.0005 ,0.0028 ,,,0.5266 ,0.3097 
62.1611 ,4.6982 ,1.0459 ,8253.7128 ,24.8907 ,6.6605 ,14.5042 ,1.2052 ,26.8176 ,0.0562 ,0.0086 ,1.3444 ,0.0800 ,0.0093 ,0.0015 ,,0.0069 ,0.0700 ,0.0082 ,0.0046 ,,0.0034 ,0.0046 ,0.0012 ,,,0.0051 ,0.0011 ,,0.9368 ,0.6381 
63.9260 ,4.7905 ,1.4237 ,493.0614 ,82.9120 ,30.9737 ,32.5124 ,0.5679 ,12.5112 ,0.0833 ,0.0141 ,0.8859 ,0.1414 ,0.0183 ,0.0007 ,0.0013 ,0.0100 ,0.0658 ,0.0097 ,0.0075 ,,,,,,0.0011 ,,0.0034 ,0.0051 ,1.0146 ,0.8393 
61.3186 ,5.4394 ,0.8626 ,1821.8186 ,89.3479 ,41.2688 ,63.0799 ,1.1782 ,18.1949 ,0.0641 ,0.0184 ,0.2131 ,0.1615 ,0.0101 ,,0.0013 ,0.0085 ,0.0030 ,0.0410 ,,0.0074 ,0.0005 ,,,,0.0026 ,0.0048 ,0.0033 ,,0.5518 ,0.3503 
71.2565 ,3.9975 ,0.7366 ,3672.2772 ,25.8655 ,0.6203 ,2.3969 ,2.4017 ,44.5970 ,0.1269 ,0.0053 ,0.6609 ,0.0204 ,0.0127 ,0.0007 ,,0.0045 ,0.0065 ,0.0363 ,0.0008 ,0.0174 ,,0.0034 ,,,0.0020 ,0.0048 ,0.0037 ,,0.1959 ,0.3015 
49.9290 ,4.6235 ,1.0396 ,109.6333 ,32.0744 ,4.6333 ,2.3130 ,0.3425 ,,,,4.5221 ,0.8645 ,0.0207 ,,,,,,,0.0476 ,,0.0562 ,,,,,,0.0097 ,1.1674 ,0.4483 
79.5129 ,2.7255 ,1.1589 ,1432.4505 ,143.5079 ,2.9874 ,2.4423 ,3.2588 ,,0.6930 ,0.4858 ,0.1924 ,0.1257 ,,0.0213 ,0.0235 ,,,,,,,,,,,,,,0.2052 ,1.8131 
49.4629 ,3.6543 ,0.9028 ,453.7943 ,81.2382 ,3.2713 ,2.4296 ,1.1465 ,17.5230 ,0.1411 ,0.0390 ,,0.1311 ,,,0.0261 ,,,,,,0.0217 ,,,,,,,,0.0561 ,0.7883 
59.2756 ,3.5050 ,1.7066 ,216.2905 ,3.8627 ,15.4711 ,1.8544 ,5.8720 ,52.2651 ,,0.0260 ,,0.9180 ,,,0.0072 ,,0.0318 ,,0.0080 ,,,,,,,,,,0.3671 ,31.3950 
42.1874 ,5.2395 ,0.1621 ,1089.2527 ,7.2585 ,13.7604 ,3.3482 ,1.3599 ,0.4726 ,0.1172 ,0.0294 ,,0.1144 ,0.0308 ,,,,,,,,,,0.0065 ,,,,,0.0167 ,0.5964 ,2.9370 
68.9591 ,4.1059 ,0.1406 ,7132.3125 ,17.1937 ,367.3118 ,9.3869 ,1.3708 ,41.2718 ,0.0910 ,0.0089 ,1.1004 ,0.1319 ,,,0.0056 ,,0.1377 ,0.0999 ,,,,,,,,,,,1.2229 ,0.9263 
48.2756 ,4.7391 ,4.4852 ,9354.8926 ,7.0929 ,48.5107 ,7.9007 ,1.6675 ,21.5218 ,0.0438 ,0.0441 ,1.8193 ,0.0283 ,0.0046 ,0.0062 ,,0.0074 ,0.0445 ,0.0132 ,,,,,,,,,,,0.7311 ,0.3681 
70.9740 ,4.6728 ,2.3941 ,1221.2747 ,45.1113 ,234.4066 ,34.9278 ,1.2746 ,29.4507 ,0.0550 ,0.0041 ,0.0445 ,0.3120 ,0.0110 ,0.0060 ,0.0054 ,,0.0133 ,0.0316 ,,,,,,,,,,0.0408 ,0.7205 ,0.1783 
63.8467 ,7.8218 ,0.0232 ,21.0788 ,111.3356 ,345.4823 ,129.7608 ,,,,0.0522 ,0.0715 ,0.3916 ,0.0386 ,,0.0087 ,0.0110 ,0.0039 ,0.3134 ,,0.0265 ,,,,,,0.0323 ,,0.0178 ,1.2866 ,0.5317 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
